iter	Logloss
258	0.1301746811
259	0.1300560378
260	0.1299629822
261	0.1298171782
262	0.1297822929
263	0.1296493298
264	0.1295786659
265	0.1294805225
266	0.1294272743
267	0.1294061844
268	0.1293268315
269	0.129261531
270	0.1291710826
271	0.129110335
272	0.1289355809
273	0.1289061723
274	0.1288131646
275	0.1287398573
276	0.1286244911
277	0.1285845494
278	0.1285654079
279	0.1285415904
280	0.1284861615
281	0.1284285987
282	0.1283513521
283	0.1283022063
284	0.1281940733
285	0.1281040384
286	0.1280594295
287	0.1280074976
288	0.1278922396
289	0.1278559544
290	0.1277530063
291	0.1276917532
292	0.1275957767
293	0.1275223375
294	0.1274941442
295	0.1274915716
296	0.1274077014
297	0.1273799676
298	0.1273416009
299	0.127273065
300	0.1272652311
301	0.1272154654
302	0.1271588753
303	0.1271067946
304	0.1270326149
305	0.1269221701
306	0.1268978311
307	0.1268047033
308	0.1267736788
309	0.1267221496
310	0.1266893932
311	0.126644991
312	0.1265983611
313	0.1265591625
314	0.1265262815
315	0.1264585991
316	0.1264225974
317	0.1262988665
318	0.1262246385
319	0.1261641599
320	0.1260812271
321	0.1260213625
322	0.1259651704
323	0.1258765592
324	0.1258737959
325	0.1258433437
326	0.1257470164
327	0.1256893992
328	0.1256324189
329	0.1256281097
330	0.1256132386
331	0.1255084882
332	0.1254598088
333	0.125423777
334	0.1253857351
335	0.1253514905
336	0.1252787106
337	0.1252251427
338	0.1251963707
339	0.1251488013
340	0.1251181954
341	0.1250607615
342	0.1250235162
343	0.1249827199
344	0.1249133544
345	0.1248616472
346	0.1248063787
347	0.1247471766
348	0.1246831026
349	0.1246531032
350	0.1246087213
351	0.1245879969
352	0.124587293
353	0.1245275249
354	0.1244510994
355	0.1244033495
356	0.1243523035
357	0.1243052795
358	0.124253545
359	0.1241747336
360	0.124146456
361	0.1240688655
362	0.1240346669
363	0.1239890551
364	0.1239382577
365	0.1238904741
366	0.1238520836
367	0.1237430779
368	0.1236841061
369	0.1236459262
370	0.1236030355
371	0.123533592
372	0.1234646183
373	0.1234120539
374	0.123396017
375	0.1233659997
376	0.1232896552
377	0.1232184676
378	0.1231775336
379	0.1231437498
380	0.1231091867
381	0.1230744206
382	0.122970858
383	0.122921449
384	0.1228687775
385	0.1228402487
386	0.1228195466
387	0.1227793404
388	0.1227173879
389	0.1226803099
390	0.1225879134
391	0.1225511761
392	0.1224979968
393	0.1224797177
394	0.1224176338
395	0.122377124
396	0.1223368732
397	0.1223004151
398	0.1222465064
399	0.1221658685
400	0.1220742459
401	0.1220365519
402	0.1220086888
403	0.1219230349
404	0.1218534806
405	0.121785883
406	0.1217627283
407	0.1216976006
408	0.1216884541
409	0.1216575643
410	0.1216319349
411	0.1215848231
412	0.1215121359
413	0.1214587288
414	0.1214457771
415	0.12140982
416	0.1213634497
417	0.1213352345
418	0.1212643767
419	0.1212358529
420	0.1211383368
421	0.121119045
422	0.1210656516
423	0.1210200803
424	0.1209971561
425	0.1209605361
426	0.1209387262
427	0.1209004482
428	0.1208444703
429	0.1208170035
430	0.1207583226
431	0.1207378993
432	0.1206954072
433	0.1206498673
434	0.1205605605
435	0.120543616
436	0.1204696704
437	0.1204456249
438	0.1203913825
439	0.1203507708
440	0.1202735736
441	0.1201978093
442	0.1200743693
443	0.1200406469
444	0.1199538217
445	0.1198872138
446	0.1198349403
447	0.1197760076
448	0.119749306
449	0.1197240631
450	0.1196983792
451	0.1196531652
452	0.1196155946
453	0.1195554864
454	0.1195366722
455	0.1194613033
456	0.1194477004
457	0.1193812507
458	0.1193507583
459	0.1193292211
460	0.1192687618
461	0.1192491431
462	0.1191653273
463	0.1190934888
464	0.1190572881
465	0.1190085378
466	0.1189909858
467	0.1189727287
468	0.118906215
469	0.1188879856
470	0.1188337719
471	0.1187768383
472	0.1187490488
473	0.1186925189
474	0.1186781328
475	0.1186572919
476	0.1186199538
477	0.1185345971
478	0.1185107418
479	0.1184809129
480	0.118406131
481	0.1183665318
482	0.1183469676
483	0.118308567
484	0.1182674167
485	0.1182093141
486	0.1181785322
487	0.1181517336
488	0.1181275687
489	0.118076043
490	0.1180367737
491	0.1180116772
492	0.1179339561
493	0.1178871785
494	0.1178326185
495	0.1177840774
496	0.1177301548
497	0.1177007213
498	0.1176685736
499	0.1176540366
500	0.1175931024
501	0.1175652715
502	0.1174874376
503	0.1174370583
504	0.1174098212
505	0.1173802595
506	0.1173225916
507	0.1173049328
508	0.1172829486
509	0.1172319328
510	0.1171936163
511	0.1171711933
512	0.1171118557
513	0.1170639512
514	0.1170142629
515	0.1169307657
516	0.116873615
517	0.1168561284
518	0.1168310848
519	0.1168076764
520	0.1167823016
521	0.1167594774
522	0.1167154913
523	0.1166932132
524	0.1166775601
525	0.1166217259
526	0.1165922521
527	0.1165724784
528	0.1165336321
529	0.1165035938
530	0.1164854482
531	0.1164342695
532	0.1163802076
533	0.1163259688
534	0.1163090088
535	0.1162900399
536	0.1162294069
537	0.1162077627
538	0.1161712458
539	0.116093955
540	0.1160354009
541	0.1160133415
542	0.1159396816
543	0.1158861324
544	0.1158367256
545	0.1157852265
546	0.1157272901
547	0.1156720354
548	0.1156270994
549	0.1155830771
550	0.1155672443
551	0.1155452317
552	0.1154890821
553	0.1154382529
554	0.1153793545
555	0.1153364736
556	0.1152698848
557	0.1152104107
558	0.1152049995
559	0.1151458131
560	0.1151092644
561	0.1150596701
562	0.1150242484
563	0.1150014553
564	0.1149582313
565	0.11494251
566	0.1148902297
567	0.1148562465
568	0.114833103
569	0.1147769687
570	0.1147442188
571	0.114688239
572	0.1146507052
573	0.1146190915
574	0.1145973486
575	0.1145592747
576	0.114514969
577	0.1144546065
578	0.1144120739
579	0.11435845
580	0.1143388571
581	0.114287245
582	0.1142708575
583	0.1142204872
584	0.1141792855
585	0.1141030218
586	0.1140709628
587	0.1140308828
588	0.1139220987
589	0.1139054302
590	0.1138871996
591	0.1138424013
592	0.1137619587
593	0.1137186986
594	0.1136386721
595	0.1135923858
596	0.1135420688
597	0.1135087456
598	0.1134539116
599	0.1134130205
600	0.1133677801
601	0.1133373004
602	0.1132980289
603	0.1132439164
604	0.1132011726
605	0.1131610857
606	0.1131176036
607	0.1131023288
608	0.113087731
609	0.1130742718
610	0.1130582996
611	0.1130004317
612	0.1129890611
613	0.1129754882
614	0.1129326753
615	0.1129129167
616	0.112893793
617	0.1128535525
618	0.1127905201
619	0.1127795687
620	0.1127381838
621	0.1126912657
622	0.1126779374
623	0.1126539281
624	0.1126066891
625	0.112562742
626	0.1125162011
627	0.1124876594
628	0.1124416627
629	0.1123975257
630	0.1123469686
631	0.1123068623
632	0.1122335665
633	0.1122213213
634	0.1121726621
635	0.1121241294
636	0.1121034087
637	0.1120549678
638	0.1120077086
639	0.1119484668
640	0.1118987804
641	0.1118517606
642	0.1118068206
643	0.1117614791
644	0.1117050117
645	0.1116476276
646	0.1116123092
647	0.1115673819
648	0.1115198291
649	0.1114856603
650	0.111446568
651	0.1114019439
652	0.1113554199
653	0.1113207143
654	0.1112734365
655	0.1112183715
656	0.1111824464
657	0.1111043926
658	0.1110709413
659	0.1110182676
660	0.1109701266
661	0.1108995528
662	0.1108651715
663	0.1107897942
664	0.1107517628
665	0.1107326069
666	0.1106967776
667	0.1106226056
668	0.1105891466
669	0.1105367698
670	0.1104659426
671	0.1103982471
672	0.1103863561
673	0.1103517628
674	0.1103015127
675	0.1102680408
676	0.1102470338
677	0.1102130831
678	0.1101988475
679	0.1101675829
680	0.1101562482
681	0.1101156328
682	0.110024683
683	0.1100075625
684	0.1099719162
685	0.1099606022
686	0.1099321633
687	0.1098990731
688	0.1098827839
689	0.1098369861
690	0.1098134962
691	0.1097921644
692	0.1097756659
693	0.1097650322
694	0.1097276266
695	0.1096935352
696	0.1096348315
697	0.1096025913
698	0.1095708896
699	0.1095423241
700	0.1095268409
701	0.1094967393
702	0.1094671416
703	0.1094522953
704	0.1094430745
705	0.1094289632
706	0.1094004269
707	0.1093778379
708	0.1093567677
709	0.1093069726
710	0.1092213296
711	0.1092010972
712	0.1091675493
713	0.1091449899
714	0.1091179278
715	0.1090577869
716	0.1090165819
717	0.1089847323
718	0.1089731716
719	0.1089637536
720	0.1089504486
721	0.1089146513
722	0.1088834293
723	0.1088721452
724	0.1088427672
725	0.1088158327
726	0.1087739127
727	0.1087337155
728	0.108715857
729	0.1087001519
730	0.1086697574
731	0.1086391972
732	0.1085848018
733	0.1085467861
734	0.1084914782
735	0.1084347818
736	0.1083804448
737	0.1083399249
738	0.1082805795
739	0.1082465822
740	0.1082201284
741	0.1081850275
742	0.1081552052
743	0.1080571691
744	0.1080007689
745	0.1079641288
746	0.1079344155
747	0.1078663808
748	0.1078307516
749	0.1077787052
750	0.1077484442
751	0.1076922048
752	0.1076426296
753	0.1076025006
754	0.1075493429
755	0.1075116548
756	0.1074321302
757	0.1073682985
758	0.1073583784
759	0.1073127693
760	0.1072992826
761	0.1072726204
762	0.1072239977
763	0.107207225
764	0.1071734401
765	0.1071322257
766	0.1071152026
767	0.1070837815
768	0.107003377
769	0.1069587304
770	0.106942811
771	0.1068990538
772	0.1068862955
773	0.1068711155
774	0.1068427359
775	0.1068291416
776	0.1068003356
777	0.1067580601
778	0.1067385774
779	0.106688592
780	0.1066407311
781	0.1066211827
782	0.106602541
783	0.1065096416
784	0.1064577258
785	0.1064167608
786	0.1063887389
787	0.1063429368
788	0.1063250602
789	0.1062936203
790	0.1062664477
791	0.106187896
792	0.1061440086
793	0.1060837708
794	0.1060305993
795	0.1060176062
796	0.1059316195
797	0.1058849199
798	0.1058585068
799	0.1058277101
800	0.1057890446
801	0.1057031602
802	0.1056517514
803	0.1056135629
804	0.1055831184
805	0.1055429771
806	0.1055118708
807	0.1055002463
808	0.1054762888
809	0.1054440322
810	0.1054068838
811	0.1053527088
812	0.1053415368
813	0.1053157482
814	0.1052988803
815	0.1052766927
816	0.1052460601
817	0.1052170146
818	0.1051361375
819	0.1050895089
820	0.1050336094
821	0.1049970569
822	0.1049642282
823	0.1048946952
824	0.104868266
825	0.1048147544
826	0.1047855507
827	0.1047329384
828	0.1047046785
829	0.104677314
830	0.1046259345
831	0.104539567
832	0.1045081384
833	0.1044796021
834	0.1044092103
835	0.1043570472
836	0.1043228421
837	0.1042895635
838	0.104243315
839	0.1042120836
840	0.1041802855
841	0.1041669114
842	0.1041386242
843	0.1041241238
844	0.1041036175
845	0.104081779
846	0.1040569214
847	0.1040062257
848	0.1039784577
849	0.1039290993
850	0.1038630209
851	0.1038143071
852	0.1037835049
853	0.1037335739
854	0.1037093829
855	0.1036691779
856	0.1036394366
857	0.1036287582
858	0.1036182454
859	0.1036019814
860	0.1035787089
861	0.1035553606
862	0.1035220041
863	0.103478257
864	0.1034702859
865	0.1034244022
866	0.1034161925
867	0.1034004674
868	0.1033537955
869	0.1033100976
870	0.1032848247
871	0.1032438556
872	0.1032178614
873	0.1031957307
874	0.1031662333
875	0.1031558179
876	0.1031273329
877	0.1031134
878	0.103085679
879	0.1030586664
880	0.1030402589
881	0.103003858
882	0.1029774305
883	0.1029529255
884	0.1029141551
885	0.1028710741
886	0.102833924
887	0.1028037421
888	0.1027904364
889	0.1027668967
890	0.1026791021
891	0.1026564084
892	0.1026207045
893	0.102561476
894	0.1025202963
895	0.1024760424
896	0.1024638824
897	0.1024522451
898	0.1024253442
899	0.1023988147
900	0.1023770277
901	0.1023437416
902	0.1023339121
903	0.1023151971
904	0.1022361646
905	0.1022114396
906	0.1021883394
907	0.1021485458
908	0.1021359396
909	0.1021116006
910	0.1020598545
911	0.1020210353
912	0.1019625905
913	0.1019188518
914	0.1018862597
915	0.1018544399
916	0.1018327875
917	0.1017893819
918	0.1017644136
919	0.101742539
920	0.1017006817
921	0.1016785213
922	0.1016415269
923	0.1016121697
924	0.1015775748
925	0.101502723
926	0.1014753195
927	0.1014539685
928	0.1013959018
929	0.101371758
930	0.1013526267
931	0.1013262746
932	0.1012710135
933	0.1012345361
934	0.1012091701
935	0.1011816309
936	0.1011687677
937	0.101141884
938	0.1011181553
939	0.1010833989
940	0.1010522923
941	0.101019172
942	0.1009792633
943	0.1009079285
944	0.1008909862
945	0.1008643837
946	0.1008495604
947	0.1007975944
948	0.1007305902
949	0.1006993288
950	0.1006683005
951	0.1006365744
952	0.1006061328
953	0.1005741126
954	0.1005339388
955	0.1004969652
956	0.1004722066
957	0.1004223552
958	0.1003851164
959	0.1003433354
960	0.1002735887
961	0.1002646946
962	0.1002341502
963	0.1002101763
964	0.1001891825
965	0.1001769305
966	0.1001590558
967	0.1001350221
968	0.100098268
969	0.100058526
970	0.1000286887
971	0.09998582601
972	0.09996549555
973	0.0999426551
974	0.09991963198
975	0.09990088035
976	0.09988009382
977	0.09987319616
978	0.09983811695
979	0.09982763685
980	0.0997883012
981	0.09977699681
982	0.09973512255
983	0.09969835905
984	0.09964550266
985	0.09963851437
986	0.09961514545
987	0.09959590474
988	0.09955777672
989	0.09955648309
990	0.09950701844
991	0.09947011077
992	0.09941496541
993	0.09938963579
994	0.09932295777
995	0.09927637288
996	0.09925017401
997	0.09919087812
998	0.09916666341
999	0.09915286064
